epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2371.04,0.91893,1.98774,1.30075,0.70071,0.64077,0.66386,0.50089,0.86602,1.02115,1.19532,0.00333222,0.00333222,0.00333222
2,4687.05,0.93151,1.26264,1.28298,0.70422,0.65304,0.68132,0.50332,0.90862,0.95663,1.23728,0.00661057,0.00661057,0.00661057
3,7080.28,0.98526,1.14115,1.31086,0.75344,0.58343,0.64899,0.47787,0.9202,0.94335,1.24192,0.00983391,0.00983391,0.00983391
4,9552.86,0.98276,1.09378,1.31174,0.66769,0.69262,0.6948,0.51783,0.86154,0.7979,1.21297,0.0097525,0.0097525,0.0097525
5,11977.8,0.9167,0.99488,1.27224,0.78134,0.69901,0.71445,0.5435,0.78847,0.73924,1.14855,0.00967,0.00967,0.00967
6,14504.2,0.88778,0.94916,1.25574,0.72157,0.70543,0.70931,0.54255,0.76818,0.70207,1.12384,0.0095875,0.0095875,0.0095875
7,16976.9,0.86341,0.91191,1.24215,0.73802,0.69577,0.69942,0.54046,0.72869,0.68402,1.09278,0.009505,0.009505,0.009505
8,19466.8,0.84723,0.88639,1.23303,0.76058,0.72053,0.73308,0.5678,0.71322,0.65738,1.0828,0.0094225,0.0094225,0.0094225
9,22021.7,0.83705,0.87362,1.22642,0.75798,0.72834,0.73011,0.57154,0.69806,0.64344,1.06956,0.00934,0.00934,0.00934
10,24593.9,0.82348,0.85379,1.21666,0.77778,0.72375,0.74078,0.57932,0.68647,0.63171,1.05987,0.0092575,0.0092575,0.0092575
11,27184.3,0.81606,0.8445,1.21327,0.76547,0.73578,0.74439,0.58201,0.6772,0.62682,1.05634,0.009175,0.009175,0.009175
12,29705.1,0.81008,0.83363,1.20936,0.76505,0.71867,0.72777,0.56997,0.67264,0.61785,1.05129,0.0090925,0.0090925,0.0090925
13,32269.9,0.80556,0.82752,1.20634,0.7812,0.72995,0.74378,0.58677,0.66476,0.61322,1.04272,0.00901,0.00901,0.00901
14,34828.8,0.79723,0.81881,1.20231,0.7609,0.71513,0.72813,0.57277,0.65907,0.60883,1.03721,0.0089275,0.0089275,0.0089275
15,37398.9,0.79497,0.80976,1.1993,0.75915,0.69503,0.71152,0.56438,0.65558,0.60329,1.03393,0.008845,0.008845,0.008845
16,39974.4,0.79033,0.80132,1.19736,0.78411,0.72793,0.74471,0.59098,0.6502,0.59988,1.0307,0.0087625,0.0087625,0.0087625
