epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.08695,1.27143,3.3482,1.5983,0.00521,1,0.36023,0.33061,0.47753,3.29327,1.20221,1.25e-05,1.25e-05,1.25e-05
2,3.36416,1.43636,3.43925,1.83861,0.00502,1,0.32611,0.28493,0.48227,3.29715,1.16346,3.67575e-05,3.67575e-05,3.67575e-05
3,5.68937,1.27096,3.42028,1.57988,0.00466,1,0.36325,0.31588,0.52457,3.30255,1.16006,6.0025e-05,6.0025e-05,6.0025e-05
4,7.23659,1.70171,3.62749,2.02988,0.00432,1,0.30747,0.27119,0.5972,3.32218,1.18343,8.23025e-05,8.23025e-05,8.23025e-05
5,8.48871,1.60298,3.45348,1.8795,0.0043,1,0.2886,0.23788,0.72259,3.33527,1.29341,0.00010359,0.00010359,0.00010359
6,9.71377,1.17155,3.34977,1.63932,0.00424,1,0.26397,0.18343,0.74891,3.45804,1.54109,0.000123888,0.000123888,0.000123888
7,11.1898,1.13477,3.31906,1.68803,0.00335,0.83333,0.32344,0.22146,0.77688,3.51836,1.56892,0.000143195,0.000143195,0.000143195
8,12.4986,1.05648,3.23249,1.53002,0.00331,0.83333,0.41672,0.29605,0.83128,3.52261,1.54888,0.000161513,0.000161513,0.000161513
9,13.9369,0.91624,3.17414,1.46415,0.00444,1,0.56106,0.41941,0.79637,3.43078,1.41722,0.00017884,0.00017884,0.00017884
10,15.4101,0.75684,3.04546,1.27868,0.00457,1,0.49986,0.37572,0.818,3.35131,1.33741,0.000195178,0.000195178,0.000195178
11,17.3228,0.99665,3.02144,1.42572,0.00473,1,0.49169,0.38826,0.79656,3.31666,1.29889,0.000210525,0.000210525,0.000210525
12,19.3088,0.82152,2.73097,1.21268,0.00491,1,0.50354,0.39624,0.7457,3.31775,1.26158,0.000224883,0.000224883,0.000224883
13,21.1948,0.79679,2.75181,1.31577,0.00456,1,0.49722,0.38672,0.72122,3.31799,1.27424,0.00023825,0.00023825,0.00023825
14,22.775,0.73881,2.63006,1.25325,0.005,1,0.60254,0.48013,0.74135,3.31112,1.28067,0.000250627,0.000250627,0.000250627
15,23.9433,0.95504,2.64501,1.45364,0.00541,1,0.59143,0.4696,0.7454,3.30277,1.28025,0.000262015,0.000262015,0.000262015
16,25.5568,0.88468,2.59383,1.36031,0.00624,1,0.52486,0.41055,0.77715,3.31185,1.31595,0.000272412,0.000272412,0.000272412
17,26.8649,0.84028,2.65578,1.28654,0.007,1,0.49708,0.39503,0.72287,3.30484,1.25581,0.00028182,0.00028182,0.00028182
